timestamp,ghi,dni,dhi,clearsky_ghi,temperature,wind_speed,humidity,clearness_index
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,8.94,3.65,42.35,-999.0
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,8.29,3.61,44.54,-999.0
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,7.75,3.68,46.5,-999.0
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,7.31,3.77,48.54,-999.0
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,6.83,3.76,50.83,-999.0
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,6.32,3.7,53.51,-999.0
2021-01-01 06:00:00,0.0,0.0,0.0,0.0,5.86,3.61,55.97,-999.0
2021-01-01 07:00:00,29.1,32.18,26.17,29.17,6.51,3.87,54.22,0.31
2021-01-01 08:00:00,198.48,376.81,93.98,199.05,9.23,4.59,45.62,0.54
2021-01-01 09:00:00,377.77,513.93,149.41,378.3,12.2,3.38,38.69,0.63
2021-01-01 10:00:00,533.03,612.83,178.51,533.03,16.75,4.0,28.48,0.68
2021-01-01 11:00:00,632.95,673.94,184.86,633.5,20.92,4.89,20.48,0.71
2021-01-01 12:00:00,641.62,629.04,198.93,641.9,22.55,4.66,18.46,0.69
2021-01-01 13:00:00,596.33,589.18,203.57,596.33,23.34,4.8,17.69,0.67
2021-01-01 14:00:00,484.02,515.2,190.54,488.62,23.54,5.06,17.52,0.63
2021-01-01 15:00:00,323.08,420.04,143.06,330.02,23.13,5.23,18.07,0.56
2021-01-01 16:00:00,146.27,208.95,88.87,149.88,21.43,4.09,22.0,0.45
2021-01-01 17:00:00,15.5,6.78,16.87,15.88,16.95,3.71,29.01,0.25
2021-01-01 18:00:00,0.0,0.0,0.0,0.0,15.33,4.13,32.1,-999.0
2021-01-01 19:00:00,0.0,0.0,0.0,0.0,14.46,4.29,34.26,-999.0
2021-01-01 20:00:00,0.0,0.0,0.0,0.0,13.6,4.38,36.44,-999.0
2021-01-01 21:00:00,0.0,0.0,0.0,0.0,12.79,4.43,38.31,-999.0
2021-01-01 22:00:00,0.0,0.0,0.0,0.0,12.0,4.39,40.0,-999.0
2021-01-01 23:00:00,0.0,0.0,0.0,0.0,11.22,4.21,41.63,-999.0
2021-01-02 00:00:00,0.0,0.0,0.0,0.0,10.51,4.05,43.01,-999.0
2021-01-02 01:00:00,0.0,0.0,0.0,0.0,9.95,4.02,44.24,-999.0
2021-01-02 02:00:00,0.0,0.0,0.0,0.0,9.39,3.92,45.8,-999.0
2021-01-02 03:00:00,0.0,0.0,0.0,0.0,8.95,3.99,47.16,-999.0
2021-01-02 04:00:00,0.0,0.0,0.0,0.0,8.5,3.96,48.77,-999.0
2021-01-02 05:00:00,0.0,0.0,0.0,0.0,7.98,3.87,51.01,-999.0
2021-01-02 06:00:00,0.0,0.0,0.0,0.0,7.53,3.87,53.27,-999.0
2021-01-02 07:00:00,26.15,20.06,26.67,27.0,7.98,4.22,52.3,0.28
2021-01-02 08:00:00,178.0,263.01,107.64,186.9,10.34,4.94,45.41,0.49
2021-01-02 09:00:00,353.62,454.6,153.4,375.85,13.19,3.84,38.7,0.59
2021-01-02 10:00:00,513.28,563.75,189.33,534.8,17.62,4.69,29.27,0.65
2021-01-02 11:00:00,613.53,629.06,201.39,636.7,20.99,5.79,23.06,0.68
2021-01-02 12:00:00,617.95,555.98,222.71,628.65,22.29,5.42,21.39,0.66
2021-01-02 13:00:00,576.55,522.98,223.07,577.7,22.92,5.31,20.45,0.65
2021-01-02 14:00:00,473.1,480.09,193.69,479.95,22.97,5.4,20.14,0.62
2021-01-02 15:00:00,310.27,344.27,161.43,320.23,22.43,5.39,20.81,0.54
2021-01-02 16:00:00,138.52,165.37,95.67,143.15,20.77,4.28,24.55,0.42
2021-01-02 17:00:00,15.1,3.86,17.15,15.6,16.58,3.59,31.75,0.23
2021-01-02 18:00:00,0.0,0.0,0.0,0.0,14.98,3.96,34.72,-999.0
2021-01-02 19:00:00,0.0,0.0,0.0,0.0,14.13,4.12,36.3,-999.0
2021-01-02 20:00:00,0.0,0.0,0.0,0.0,13.28,4.15,37.85,-999.0
2021-01-02 21:00:00,0.0,0.0,0.0,0.0,12.48,4.09,39.45,-999.0
2021-01-02 22:00:00,0.0,0.0,0.0,0.0,11.73,4.0,41.21,-999.0
2021-01-02 23:00:00,0.0,0.0,0.0,0.0,11.03,3.87,43.4,-999.0
2021-01-03 00:00:00,0.0,0.0,0.0,0.0,10.39,3.77,45.92,-999.0
2021-01-03 01:00:00,0.0,0.0,0.0,0.0,9.8,3.68,48.82,-999.0
2021-01-03 02:00:00,0.0,0.0,0.0,0.0,9.21,3.52,52.3,-999.0
2021-01-03 03:00:00,0.0,0.0,0.0,0.0,8.63,3.36,55.97,-999.0
2021-01-03 04:00:00,0.0,0.0,0.0,0.0,8.1,3.19,59.66,-999.0
2021-01-03 05:00:00,0.0,0.0,0.0,0.0,7.64,3.08,63.13,-999.0
2021-01-03 06:00:00,0.0,0.0,0.0,0.0,7.23,2.97,66.23,-999.0
2021-01-03 07:00:00,22.0,5.41,22.63,22.05,7.67,2.74,65.7,0.24
2021-01-03 08:00:00,149.48,154.93,94.69,150.27,10.2,3.61,56.19,0.41
2021-01-03 09:00:00,303.33,289.15,161.56,306.3,12.5,2.79,49.15,0.5
2021-01-03 10:00:00,448.52,378.69,217.78,448.52,16.43,3.13,38.02,0.57
2021-01-03 11:00:00,554.7,459.9,230.52,565.3,19.83,3.91,29.84,0.62
2021-01-03 12:00:00,486.15,283.73,252.12,486.77,21.27,4.06,27.01,0.52
2021-01-03 13:00:00,449.65,263.89,247.63,449.67,22.0,4.39,25.32,0.51
2021-01-03 14:00:00,363.17,227.88,208.01,364.48,22.1,4.65,24.48,0.47
2021-01-03 15:00:00,231.05,137.13,159.39,232.75,21.61,4.8,24.41,0.4
2021-01-03 16:00:00,100.55,43.61,84.64,101.05,19.81,3.65,27.9,0.3
2021-01-03 17:00:00,12.32,0.41,14.18,12.15,15.87,3.41,34.62,0.18
2021-01-03 18:00:00,0.0,0.0,0.0,0.0,14.36,3.71,36.7,-999.0
2021-01-03 19:00:00,0.0,0.0,0.0,0.0,13.54,3.8,37.9,-999.0
2021-01-03 20:00:00,0.0,0.0,0.0,0.0,12.8,3.81,39.46,-999.0
2021-01-03 21:00:00,0.0,0.0,0.0,0.0,12.15,3.8,41.53,-999.0
2021-01-03 22:00:00,0.0,0.0,0.0,0.0,11.56,3.77,44.01,-999.0
2021-01-03 23:00:00,0.0,0.0,0.0,0.0,11.02,3.73,46.34,-999.0
